question,answer,docid,dataType,title,content
孩子爲什麼容易在手術前感到緊張或焦慮？,"根據原文“孩子們很容易在手術前感到緊張或焦慮,因爲他們不太容易理解複雜的醫學術語。此外,醫生也不願意向16歲以下的兒童開抗焦慮藥物。”可知，孩子們容易在手術前感到緊張或焦慮是因爲他們不太容易理解複雜的醫學術語，而且醫生也不願意向16歲以下的兒童開抗焦慮藥物。",73999,健康,access sports用vr緩解手術焦慮,"等待一場手術,即使是小手術,也會讓人緊張不已。研究顯示,虛擬現實(vr)不僅有助於向患者科普手術相關知識,還能緩解他們的焦慮情緒。access sports運用這一技術幫助患者在不使用抗焦慮藥物的情況下保持平靜。access正在嘗試使用vr頭顯緩解等待手術病人的焦慮情緒。病人在進手術室前或在術後恢復過程中可選擇使用vr頭顯。選擇佩戴vr頭顯無需支付額外費用,一些手術患者或在診所進行小手術的病人都可以使用。這些vr設備專爲臨牀應用設計,患者可以通過虛擬方式到達不同地方獲得不同體驗,患者還能選擇遊戲、旅遊、體育、音樂或自然等主題。appliedvr進行的一項研究表明,臨牀前結果顯示使用了vr技術的患者其焦慮情緒降低了63%,疼痛感也下降了24%。在access提供的演示視頻中,vr抗焦慮室爲一位6歲小男孩帶來了極大的幫助。孩子們很容易在手術前感到緊張或焦慮,因爲他們不太容易理解複雜的醫學術語。此外,醫生也不願意向16歲以下的兒童開抗焦慮藥物。這樣一來,vr就成了受到家長和孩子歡迎的替代選擇。其他的醫療機構也在嘗試將vr用於患者。一家澳大利亞養老機構使用vr幫助老年人脫離臨牀環境；一家兒童醫院也使用vr作爲科普工具幫助患者和家人理解需要治療的複雜疾病。還有一項持續開展的項目正通過使用vr來戒斷上癮症並緩解疼痛。 特別聲明:以上文章內容僅代表作者本人觀點,不代表新浪看點觀點或立場。如有關於作品內容、版權或其它問題請於作品發表後的30日內與新浪看點聯繫。"
患有肝炎的患者應該如何調整心態和進行有效治療？,"根據原文“對於患上肝炎疾病的患者來說,首先要要調整好心態,不能降低心情,其實肝炎還是能夠治癒的,所以開展積極的有效的治療是十分重要的。”患有肝炎的患者應該調整好心態，相信肝炎是可以治癒的，並積極開展有效的治療。",78546,健康,"一旦患有肝炎,生活中儘量多喫4物,或助你修復肝硬化,遠離肝炎","對於患上肝炎疾病的患者來說,首先要要調整好心態,不能降低心情,其實肝炎還是能夠治癒的,所以開展積極的有效的治療是十分重要的。一旦患有肝炎,生活中儘量多喫4物,或助你修復肝硬化,遠離肝炎！ 薺菜 薺菜味甘、歸肝、脾經,具有清肝火,消熱毒的功效。而且薺菜的營養豐富,特別是它所含的維生素b,能夠祛除肝臟中多餘的脂肪,同時,還能增強肝臟的消炎能力,提高免疫力。所以,一旦患有肝炎,不妨多喫一些薺菜,或助你修復肝硬化,遠離肝炎。 紅棗 紅棗是我們平時比較常見的一種食物,用紅棗泡水喝,可以增加體內的血清蛋白,對肝細胞有很好的修復作用,達到養肝排毒的作用。注意用紅棗泡水喝,需要把紅棗撕成小片泡水,其有效成分才能更好的溶於水,也利用消化。 牛奶 牛奶是我們生活中比較常見的一種飲品,有很多人都喜歡喝牛奶。牛奶中含有優質蛋白質、人體易吸收的乳糖與乳脂、多種維生素、豐富的鈣與磷及多種微量元素。一旦患有肝炎,平時多喝一些牛奶,或助你修復肝硬化,遠離肝炎。 葛根 葛根的營養價值十分豐富,在幫助肝細胞修復的同時,還能夠在肝細胞周邊形成一個保護膜,提高肝臟免疫力,加快肝功能恢復。此外,還可以有效清除身體中出現的毒素和有害物質。因此,一旦患有肝炎,不妨多喫一些葛根,或助你修復肝硬化,遠離肝炎。"
失眠問題的治療要從哪些方面進行綜合調整？,"根據原文“失眠的發生不是一個單純的生理性問題。它是心身綜合狀態的一個窗口,也就是說,失眠是心身失調的結果。調整失眠要從心理、身體等多維度進行綜合調整。”可知，失眠問題的治療要從心理和身體等多維度進行綜合調整。",28740,健康,"專家支招""如何睡個好覺""","本報訊(記者劉波)今天是世界睡眠日。自新冠肺炎疫情發生以來,一些市民出現了入睡困難、易醒、多夢、早醒等失眠問題。天津市中醫藥研究院附屬醫院心身疾病科主任醫師梅妍提示,疫情期間出現的失眠多爲短期、急性失眠,人們應當學會積極、科學的調整,以免轉化爲慢性失眠。 梅妍介紹,失眠因人們的年齡和性別而不同。研究表明,人的睡眠時間和質量會隨着年齡的增長而逐漸縮短和下降。另有研究顯示,女性比男性的失眠問題更爲多見。這或許與女性的性激素在一生中變化幅度更大,性格更加敏感、細膩有關。而且失眠的發生不是一個單純的生理性問題。它是心身綜合狀態的一個窗口,也就是說,失眠是心身失調的結果。調整失眠要從心理、身體等多維度進行綜合調整。 首先,不該睡覺的時間不要躺在牀上。有的人晚上沒睡好,就總希望白天補上一覺,結果白天睡了幾個小時,到了晚上就更感覺睡不着、睡不好,天長日久就形成了晝夜顛倒的惡性循環。因此,有失眠問題的人,即使晚上睡不好,白天也不能長時間補覺。睡眠問題要從白天、傍晚、夜間進行全程管理,以建立正常的晝夜節律。 其次,要建立""精神開關""。有睡眠問題的人要安排好日常的生活內容,把自己的精神狀態慢慢培養成如電源開關一樣,白天""打開電源"",使身體和精神處於工作運轉、興奮和活躍的狀態；到了晚上,才能感到身體和精神的疲勞,進入""關閉電源""、休息的狀態。這樣才能建立起良好的晝夜節律,人們的生物鐘處於正常狀態,進而保持心身的健康。 再次,建立""睡眠儀式""。晚上睡覺之前,人們可以做一些準備工作,並形成固定的內容,比如做好個人衛生、關閉電視機、放下工作、聽聽舒緩的音樂、鋪牀等,在固定的時間做固定的事情。"
什麼是中樞性尿崩症的主要原因？,根據原文“中樞性尿崩症主要因爲神經系統受損導致抗利尿激素分泌不足”，中樞性尿崩症的主要原因是神經系統受損導致抗利尿激素分泌不足。,35261,健康,"中樞性尿崩症主因是抗利尿激素缺乏,對因治療是關鍵","尿崩症按照發病原因可分爲中樞性尿崩症和腎性尿崩症,中樞性尿崩症主要因爲神經系統受損導致抗利尿激素分泌不足,而腎性尿崩症則主要是腎臟對抗利尿激素不敏感所致。 抗利尿激素,顧名思義是一種阻止尿液排出的激素,該激素主要由下丘腦-垂體系統分泌,作用於腎臟的集合管,讓腎臟對腎臟中的原尿進行濃酸和重吸收,最終形成尿液排出體外。 當下丘腦-垂體系統受到損傷時,可能會影響影響抗利尿激素分泌,如果作用於腎臟集合管抗利尿激素不足,腎臟就不能對腎臟中的原尿進行濃縮和重吸收,這就是中樞性尿崩症的發病機制。 因此,中樞性尿崩症患者常常表現出多飲、多尿、精神性煩渴、低比重尿和低滲透壓尿等症狀,如果患者爲兒童,他們往往更喜歡喝冰水和甜飲料。 由於腎臟對原尿中的水分重吸收作用減少,長期體內缺水會出現皮膚乾燥、蒼白、不易流汗等現象,通常中樞性尿崩症患者的日均飲水量會高於4l,尿液以低比重尿爲主,顏色清淡且異味少。 中樞性尿崩症要及時治療,否則長期的頻繁飲水、排尿會影響患者正常作息,嚴重者會出現抑鬱、精神淡漠等表現,如果是兒童患者,如果不及時治療會影響兒童的生長發育。 引起中樞性尿崩症的原因有很多,比如腫瘤(顱咽管瘤、視神經膠質瘤)、外傷(車禍、顱腦手術損傷)、感染(腦膜炎、結核等)和其他的原因(缺氧、窒息和腦室內出血等原因)。 雖然中樞性尿崩症發病原因很多,但是總歸一點是由於抗利尿激素缺乏,因此患者確診爲中樞性尿崩症後,一定要針對性的補充抗利尿激素,以恢復患者正常的尿液濃縮功能,正常排尿。 醋酸去氨加壓素(商品名彌凝)已經進入中國市場多年,在治療中樞性尿崩症上深受醫生和患者的推崇。 醋酸去氨加壓素的化學式結構爲1-去氨基,8-d-精氨加壓素醋酸鹽,是一種天然精氨酸加壓素的人工合成類似物。化學結構的改變,使得醋酸去氨加壓素比精氨酸加壓素的起效時間更短、作用時間更長而且不產生升壓等副作用。 患者服用醋酸去氨加壓素後可以減少尿液排出,增加尿滲透壓,降低血漿滲透壓,從而減少尿量和排尿次數。 據瞭解,醋酸去氨加壓素按照製劑規格可以分爲100mg和200mg的片劑,一般成人和兒童的初始劑量爲每次100mg,每日三次,醫生可以根據患者的療效調整給藥劑量。"
爲什麼免疫力被破壞可能導致患上白血病？,"根據原文“因爲免疫系統正常的情況下,血液中的白細胞、紅細胞和血小板是處於一個平衡狀態。可免疫力被破壞,人體就會很虛弱,會受到細菌和病毒的侵害,就會出現異常的白細胞,導致白血病的發生。”免疫力被破壞會使人體變得虛弱，易受到細菌和病毒的侵害，導致異常的白細胞增加，進而引發白血病。",74544,健康,"爲什麼越來越多的孩子患上白血病?醫生說,跟這2個原因有關","白血病也叫血液系統腫瘤,由於骨髓內造血功能被破壞,導致身體不能正常造血。這是一種非常危險的疾病,雖然治癒率在不斷的上升,但還是有一些白血病很難治療,只能緩解症狀。 很多時候,患上白血病的往往是孩子,由於孩子的抵抗力比較低,在還生長和發育階段,比成年人更容易患上白血病。 那麼,到底是什麼原因導致了患上白血病？ 人體免疫力被破壞: 人體的免疫系統承擔着重要作用,如果受到嚴重破壞,很有可能會引起白血病的發生。 因爲免疫系統正常的情況下,血液中的白細胞、紅細胞和血小板是處於一個平衡狀態。可免疫力被破壞,人體就會很虛弱,會受到細菌和病毒的侵害,就會出現異常的白細胞,導致白血病的發生。 所以,提高自身的免疫力尤爲重要,在飲食中多喫一些蛋白質食物,避免長時間的熬夜、吸菸、飲酒等習慣,還要經常鍛鍊身體,把自身的免疫系統提升上去。 甲醛、苯有害氣體: 甲醛、苯等有害氣體,也是導致患上白血病的一個主要原因。因爲這類有害氣體進入身體後,會隨着呼吸系統進入血液中,使得造血組織及神經系統受到嚴重破壞,從而引起白血病的發生。 甲醛、苯這類有害氣體無色無味,經常出現在建築材料中,而且不容易揮發,這也就是爲什麼新裝修的房子容易產生甲醛、苯的原因。甲醛濃度爲0.1ppm的空氣中,就可能會引起頭痛、呼吸困難的症狀。 建議大家剛裝修的房子不要立即入住,開窗通風一段時間,至少需要半年的時間。而且還要找專業的測甲醛、苯有害氣體的單位,進行檢查,沒問題後再去入住。"
什麼樣的女性容易成爲乳腺癌的高危人羣？,根據原文“6大類乳腺癌的高危女性人羣”可知，未育者及35週歲初育者、月經初潮小於12週歲的女性、多次墮胎的女人、重度乳腺增生者、長期進行放射治療者、一級親屬患有乳腺癌者都容易成爲乳腺癌的高危人羣。,73569,健康,"乳腺癌""選人""有6個標準,希望你不是其中之一","在生活中我們都知道每個女性都可能會遇到一些乳腺方面的疾病,尤其是對這個乳腺癌在發生的時候真的是非常危險的,乳腺癌選人,肯定有這6個標準,希望你不在這其中之一的,我們就應該來看看乳腺癌在發生的時候到底有哪些症狀表現的呢？ 6大類乳腺癌的高危女性人羣 1、未育者及35週歲初育者 有的人,因爲一些原因,而不準備要小寶"",感覺這樣自己的人生,也會輕鬆些許,但是,你知道嗎,如果一直不生育的女性,得乳腺癌的幾率會比生育過孩子的女性得乳腺癌的幾率要高,而進行過母乳餵養的女性患乳腺癌的幾率會更低。而生育者中,35週歲之後生育的比35週歲之前生育的女子患乳腺癌的概率高。 2、月經初潮小於12週歲的女性 一般來說,女的第一次來那個的時候,差不多是在12-14之間,但是,現在,由於一些因素的影響,使得很多小女孩的月經初潮也受到了一定的影響。如果在12歲之前就來,那時女性的很多地方沒有發育成熟,會使得各項功能照其他人弱一些,這其中就包括我們的乳腺。而乳腺功能一旦降低,患乳腺癌的風險也就大大的增加了。 3、多次墮胎的女人 這一點,在這類患者當中也是比較多見的一個發病因素,這主要是如果女的經常有這樣傷害身體的行爲,那麼,這個女的體內的激素水平就會變得非常不穩定,身體中激素平衡就會被打破,增生性乳房突然停止生長,乳腺癌的患病率就會增加,且受年齡影響,十八歲前首次流產的風險比未流產的婦女高百分之一百五十,而自然流產,與患乳腺癌疾病無關。 4、重度乳腺增生者 這個情況,在女的當中着實不少見,這也形成了一個弊端,就是大家都覺得,反正很多人有,那肯定不礙事,但其實這樣是很危險的,因爲女性朋友如果長期有乳腺增生的情況,卻沒有及時治療,或者是治療的不徹底的話,那麼,時間一久,就會增加腫塊癌變的幾率。 5、長期進行放射治療者 這一點其實挺讓人無奈的,主要就是指一些女性朋友,因爲一些病的原因,而不得不長期的進行這項治療,雖然可以緩解要治療的疾病,但是同時也會給接受治療的患者帶來傷害,長期放療可改變人的基因,使其發生基因突變,而癌症就是基因突變造成的後果之一。尤其是胸部放射性治療,直接穿透乳腺,發生癌變的幾率會更高。 6、一級親屬患有乳腺癌者 如果你有母親、姐妹是乳腺癌患者的話,那麼,你患病的幾率就會比常人高。另外,如果親屬中有卵巢癌患者的人羣也要當心乳腺癌的發生。 其實我們大家都知道乳腺癌在發生的時候,真的是非常影響着我們的身體健康,所以大家一定要多注意在發生這個乳腺癌的時候儘快的去接受檢查和治療,尤其是經常愛生氣或者平時的時候不注意自己的保健問題,這種情況都是非常危險的,可能會導致身體出現一些乳腺疾病的現象。"
中老年人容易受傷的膝蓋問題有哪些？,"根據原文“人們在日常生活中一定要注意膝蓋保暖,尤其是夏天在空調房,穿着清涼的女性最好在腿上蓋張小毛毯”可知，中老年人容易受傷的膝蓋問題包括長時間保持一個動作、缺少肌肉、脂肪組織保護、長時間保持一個動作時不活動身體等。",58715,健康,"人老腿先衰:這三種運動其實挺傷膝蓋,一旦損傷很難修復","步入中老年階段的人常會說這樣一句話:""人老腿先衰""。膝蓋是人體最大最複雜的關節,一旦膝關節損傷了,就會讓人感到相當痛苦,嚴重時甚至連走路都會很困難。這主要是由於中老年人在年輕時沒有好好保護膝蓋,隨着年齡的增長,膝蓋就會出現退化、疼痛的狀況。可見,人們想要老來不遭受膝蓋的疼痛,就得好好保護自己的膝關節。現在很多人越來越關注自己的健康問題,堅持運動的人也變多了,俗話說""生命在於運動""嘛。雖然運動確實能夠強身健體,但膝蓋不好的人,運動得""挑着做"",儘量不要做一些對膝蓋傷害比較大的運動。那麼,哪些運動對膝蓋傷害比較大呢？細數傷膝蓋的運動第一、爬山爬山是很多中老年人比較偏愛的鍛鍊項目之一。爬山雖然能夠增強人們的心肺功能,但也會傷害人們的膝蓋。這到底是爲什麼？因爲人們在爬山的過程中,人的膝蓋往往處於彎曲的狀態,一旦膝蓋長時間彎曲就會加大膝關節的負擔,從而使得軟骨獲得養分不足以及過度磨損。這樣一來受累的只有膝蓋,嚴重時還會引起軟骨病變。第二、球類運動球類運動如足球、籃球是年輕人喜歡的運動方式,也是最容易傷害膝蓋的運動。這主要是因爲球類運動屬於激烈型運動,運動過程中碰撞激烈的現象很常見,這就加大了傷害膝蓋的風險；另外,人們在運動時常常需要配合彈跳的動作,而彈跳頻率越高,對膝蓋的傷害越大。第三、跑步跑步是一項很簡單的動作,只需要兩步:腿跨出後落地,再次蹬地。而在跑步的全過程中,就是無數次循環同一個動作。而每次人們跑步落地時的衝擊力,對膝蓋的影響極大。人們跑步的速度越快,膝關節所承受的衝擊力和磨損就越大。那麼,人們日常該如何保護自己的膝關節呢？保護膝蓋,從點滴小事做起運動鍛鍊不可缺在日常生活中人們缺少不了運動鍛鍊,因此人們想要保護好自己的膝關節,可以做一些對膝蓋幾乎沒有影響的運動,比如游泳、普拉提、騎自行車等。其中游泳是所有運動中對膝關節衝擊最小的,在水中人體的各關節基本不負重,這不僅能保護人的膝關節還能增強人的心肺功能。注意膝蓋保暖膝蓋是一個最容易受涼的地方,這主要是因爲膝關節局部缺少肌肉、脂肪組織的保護。一旦膝蓋長期受涼就會導致人們出現膝關節疼痛、腫脹的情況。因此人們在日常生活中一定要注意膝蓋保暖,尤其是夏天在空調房,穿着清涼的女性最好在腿上蓋張小毛毯。不要長時間保持一個動作對於很多人來說,長時間保持一個動作是最常見的事,比如久坐、長時間站立、長時間走路等。往往這些行爲都會使膝關節受到一定的損傷。因此在人們長時間保持一個動作時,一定要記住多活動身體,同時每隔1-2個小時就改變一下姿勢。膝蓋的健康大多掌握在自己的手中。在日常生活中好好地保護膝蓋,等老了就不用爲膝蓋疼痛而煩惱了！編輯:顧軍 陳曦責任編輯:張鵬來源:39健康網、搜狐網 特別聲明:以上文章內容僅代表作者本人觀點,不代表新浪網觀點或立場。如有關於作品內容、版權或其它問題請於作品發表後的30日內與新浪網聯繫。"
爲什麼過辣的食物會增加胃病的惡化？,"根據原文“過辣的食物會引起消化道充血,損傷胃臟的健康,誘發胃炎,胃潰瘍,同時也會增加胃病的惡化”，可知過辣的食物會引起消化道充血，損傷胃臟健康，導致胃炎和胃潰瘍，從而增加胃病的惡化。",97197,健康,"以下這三種食物,是胃癌的""幫兇"",最好少碰!","以下這三種食物,是胃癌的""幫兇"",最好少碰！ 1、麻辣食物 麻辣食物是很多人難以拒絕的飲食,雖然美味,但是對胃臟的損傷也是不容小視的。 過辣的食物會引起消化道充血,損傷胃臟的健康,誘發胃炎,胃潰瘍,同時也會增加胃病的惡化,經常食用,不利於身體的健康。 2、過燙食物 人的胃臟是有最基礎的保護膜,而最高承受的溫度就是50-65攝氏度,而剛燒開的水,剛出鍋的食物,火鍋等這些食物的溫度均在80攝氏度以上。 過燙的食物會對胃造成一定的損傷,使食道黏膜,胃粘膜病變,增加胃炎,甚至是胃癌的發病幾率。 3、醃製食物 醃製食物,自身會損失掉一部分營養物質,並且含有大量的鹽分,會直接造成胃粘膜的損傷,同時食物在醃製過程中,會產生致癌物亞硝胺,同樣也是胃癌的""催化劑""。 所以重口味的人,要合理控制鹽的攝入,已經鹹菜,燻肉等一些""隱形鹽""的攝入。 養護胃臟,預防胃癌,做好這幾件事: 1、以""食""養胃 食物是養胃的基礎,不健康的飲食也是導致胃臟損傷的主要的因素。 小米粥,是養胃的佳品,有暖胃止嘔,保護胃粘膜,修復胃臟損傷的作用,尤其是已經患有胃病的人,常喫小米加速胃病的修復。 山藥,具有健脾益氣的功能,其中的澱粉酶可加速腸胃的蠕動,減輕胃臟的垃圾毒素,提升免疫力,預防胃癌的發生。 紅棗,古書上記載,有養脾胃的功效,補氣補血,修復胃臟的損傷,最好的食用方法就是泡水,或是煮粥。 2、以""水""養胃 如話說""胃是三分治七分養"",除了飲食要注意,平時常飲溫水,可促進胃的消化代謝,保護胃粘膜。 或是再水加入一下消炎養胃的小植物,用用蒲公英,搭配紅皮,做成蒲公英紅皮茶泡水飲用。 現代藥理研究表明,蒲公英,可殺滅幽門螺桿菌,修補胃黏膜,改善潰瘍,緩解胃痛,對胃部健康,大有益處。 清代《外科證治全生集》中這樣寫道:""蒲公英瓦上炙枯黑存性,研末火酒送服治胃脘痛。"" 紅皮,也是養胃佳品,可理氣健脾、調中和胃,刺激胃腸道平滑肌,促進消化,排腸道積氣,增強食慾,適用於脘腹脹滿、噯氣、噁心、嘔吐、納呆倦怠、大便溏薄以及咳嗽痰多等症狀。 對於經常消化不良,腹脹,噁心,反酸等胃不好的人,適當的在兩餐之間,喝一些小植物茶,安全健康,沒有副作用。 3、以""慢""養胃 慢慢的喫飯,不僅可控制體重,也可預防胃臟疾病,減少癌症的發生。 細嚼慢嚥可促進胃液的分泌,在不斷的咀嚼的過程中會,充分的將食物研磨,消化,吸收,有效的減輕胃的負擔,降低食物對胃的損傷。 同時唾液澱粉酶,也有助於胃臟的消化,預防腹脹,胃酸增多等不良的症狀,形成保護胃部的薄膜,預防疾病的侵蝕。 專家建議,每餐細嚼慢嚥的時間最好在20-30分鐘左右。 4、以""穴""養胃 神闕穴,即肚臍,又名臍中,是人體任脈上的要穴 功效:有養胃護胃,提升身體免疫力的作用功效,緩解胃寒,胃部舒服等症狀。 內關穴,位於前臂正中,腕橫紋上2寸,在撓則屈腕肌腱同掌長肌腱之間取穴。 功效:滋養胃部,調理胃部,理氣止痛,和中止嘔之效。 中脘穴,位於人體正中線上,肚臍上面胸骨下端連線的中間處就是中脘穴。 功效:主治疾病有消化系統疾病,腹脹、腹痛,是養胃重要的穴位之一。 圖片來源網絡,如侵權,麻煩聯繫刪除,謝謝！"
爲什麼洗手時使用盆接水會讓手越洗越髒？,"根據原文“用盆接水洗用盆接水,洗手時盆裏的水已經髒了,甚至多人合用一盆水,會讓手越洗越髒。”可知，使用盆接水洗手時，洗手的盆裏的水已經被污染，甚至如果多人合用一盆水，會導致手越洗越髒。",69263,健康,"你的雙手攜帶1000萬細菌,比抹布還髒!附正確七步洗手方法","你是不是認爲洗手用流水衝一衝,手就洗乾淨了？美國研究發現,每個人雙手攜帶的細菌有1000萬個,遠超過被稱爲""細菌炸彈""的廚房抹布！日常生活中,手會在不知不覺中接觸大量的細菌、病毒。有可能引發腹瀉、皮膚及呼吸道感染等疾病。細菌多？病毒多？怕感染！怎麼辦？洗手,洗手,快洗手！那麼如何洗手才正確？南京鼓樓醫院的七位專家親授正確又簡單的七步洗手方法戳視頻↓原來洗個手,有這麼多的講究。你get了嗎？這些時候該洗手飯前便後；喫藥前；接觸錢幣後；打掃完衛生後；抱孩子之前；去醫院、商場等公共場所、接觸公共設施後；接觸過血液、淚液、鼻涕、痰液、唾液後；接觸及照護患者後,如接觸患者皮膚或衣物、給患者餵食、喂藥、擦身、量體溫、協助患者刷牙、更換假牙、大小便等。洗手時易中招的誤區誤區一:不願洗手總覺得自己""抵抗力強"",沒有養成洗手的良好習慣。誤區二:單純""水洗""不用肥皂或洗手液,單純""水洗"",不能有效去除手部污垢,大量病毒和病菌還停留在手上。誤區三:洗手時間過短整個洗手過程約40-60秒,其中揉搓不少於15秒,洗手時間短、沖洗遍數少,對去除病菌作用不大。誤區四:以擦代洗用溼紙巾擦手代替洗手,只能少量去除手部污染。誤區五:用盆接水洗用盆接水,洗手時盆裏的水已經髒了,甚至多人合用一盆水,會讓手越洗越髒。誤區六:洗手次數過多會對手部皮膚造成傷害,若手部有裂口,皁液會滲透到裂口,造成感染。誤區七:共用幹手毛巾最好用一次性幹手紙或一人一條毛巾,用後及時清潔並乾燥。原來洗手這事這麼重要！轉發分享告訴家裏人~(文章來源於現代快報,版權歸原作者所有,如造成侵權請告知！) 特別聲明:以上文章內容僅代表作者本人觀點,不代表新浪網觀點或立場。如有關於作品內容、版權或其它問題請於作品發表後的30日內與新浪網聯繫。"
